计算机,2814
教育,2029
系统,1473
计算机科学,1464
工程,1275
网络,1254
软件工程,1223
设计,1219
信息,1128
软件,1107
计算,1005
算法,999
管理,946
智能,831
数据库,781
环境,688
重点,678
二等奖,674
sci,665
优化,663
